ID,Job Title,Company Title,Tenure,Job Type
180735KAT0000001,Data Analyst,The World Bank ,Aug 2023 - Present · 5 mos, World Bank · ContractThe World Bank · Contract
180735KAT0000001,Data Visualization Consultant,UNICEF East Asia and Pacific ,Feb 2023 - Present · 11 mos,East Asia and Pacific · ContractUNICEF East Asia and Pacific · Contract
180735KAT0000001,Data Scientist,Asian Development Bank (ADB) ,Mar 2023 - Aug 2023 · 6 mos,an Development Bank (ADB) · ContractAsian Development Bank (ADB) · Contract
180735KAT0000001,Machine Learning Engineer,RecursiveRecursive,May 2022 - Jan 2023 · 9 mos,cursiveRecursive
180735KAT0000001,Data Scientist,Asian Development Bank (ADB) ,Mar 2022 - Jul 2022 · 5 mos,an Development Bank (ADB) · ContractAsian Development Bank (ADB) · Contract
180735KAT0000001,Relocation,Career BreakCareer Break,Nov 2021 - Apr 2022 · 6 mos,er BreakCareer Break
180735KAT0000001,Data Scientist,Pearson ,Jul 2019 - Nov 2021 · 2 yrs 5 mos,arson · Full-timePearson · Full-time
180735KAT0000001,"Analyst, People Metrics and Analytics",Thomson ReutersThomson Reuters,Sep 2016 - Jul 2019 · 2 yrs 11 mos,mson ReutersThomson Reuters
181032CAD0000007,Data Scientist,Rakuten ,Jan 2021 - Present · 3 yrs,en · Permanent Full-timeRakuten · Permanent Full-time
181032CAD0000007,Data Science Intern,Rakuten ,Jun 2019 - Aug 2019 · 3 mos,en · InternshipRakuten · Internship
181032CAD0000007,Recreational Councelor Leader,Tokyo American Club ,Jun 2018 - Aug 2018 · 3 mos,kyo American Club · ContractTokyo American Club · Contract
181032CAD0000007,Recreational Councelor,Tokyo American ClubTokyo American Club,Jun 2017 - Aug 2017 · 3 mos,kyo American ClubTokyo American Club
181032CAD0000007,Coordinator,Relo Japan K.K.Relo Japan K.K.,May 2016 - Aug 2016 · 4 mos,lo Japan K.K.Relo Japan K.K.
181032CAD0000007,Exchange Student Consultant,Zion International ProgramZion International Program,Aug 2015 - Sep 2015 · 2 mos,on International ProgramZion International Program
